2023-01-27 15:37:27,683 INFO    MainThread:324684 [wandb_setup.py:_flush():68] Configure stats pid to 324684
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_setup.py:_flush():68] Loading settings from /home/tomnotch/.config/wandb/settings
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_setup.py:_flush():68] Loading settings from /home/tomnotch/code/wildfire/HIT-Object-Detection/wandb/settings
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'yolo_train.py', 'program': '/home/tomnotch/code/wildfire/HIT-Object-Detection/yolo_train.py'}
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_init.py:_log_setup():478] Logging user logs to /home/tomnotch/code/wildfire/HIT-Object-Detection/wandb/run-20230127_153727-sw0o1zhv/logs/debug.log
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_init.py:_log_setup():479] Logging internal logs to /home/tomnotch/code/wildfire/HIT-Object-Detection/wandb/run-20230127_153727-sw0o1zhv/logs/debug-internal.log
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_init.py:init():518] calling init triggers
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_init.py:init():571] starting backend
2023-01-27 15:37:27,684 INFO    MainThread:324684 [wandb_init.py:init():575] setting up manager
2023-01-27 15:37:27,688 INFO    MainThread:324684 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-27 15:37:27,692 INFO    MainThread:324684 [wandb_init.py:init():582] backend started and connected
2023-01-27 15:37:27,694 INFO    MainThread:324684 [wandb_init.py:init():670] updated telemetry
2023-01-27 15:37:27,703 INFO    MainThread:324684 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-27 15:37:28,001 INFO    MainThread:324684 [wandb_run.py:_on_init():2121] communicating current version
2023-01-27 15:37:28,167 INFO    MainThread:324684 [wandb_run.py:_on_init():2125] got version response 
2023-01-27 15:37:28,168 INFO    MainThread:324684 [wandb_init.py:init():758] starting run threads in backend
2023-01-27 15:37:33,944 INFO    MainThread:324684 [wandb_run.py:_console_start():2101] atexit reg
2023-01-27 15:37:33,944 INFO    MainThread:324684 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-27 15:37:33,944 INFO    MainThread:324684 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-27 15:37:33,944 INFO    MainThread:324684 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-27 15:37:33,945 INFO    MainThread:324684 [wandb_init.py:init():798] run started, returning control to user process
2023-01-27 15:37:33,945 INFO    MainThread:324684 [wandb_run.py:_config_callback():1249] config_cb None None {'model': 'yolov3-custom.cfg', 'data': 'hit.data', 'epochs': 900, 'verbose': False, 'n_cpu': 8, 'pretrained_weights': None, 'checkpoint_interval': 10, 'evaluation_interval': 1, 'multiscale_training': False, 'iou_thres': 0.5, 'conf_thres': 0.1, 'nms_thres': 0.5, 'logdir': 'yolo_logs', 'seed': -1, 'batch_size': 5}
2023-01-27 15:54:30,468 WARNING MsgRouterThr:324684 [router.py:message_loop():77] message_loop has been closed
